,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
317,Gravity Falls Title Theme,Brad Breek,"1,4,5",Instrumental,,,,,,,,,
318,Shake It Off,Taylor Swift,"1,4,5",Chorus,Shake It Off,Taylor Swift,405014,5412142,"pop, haters gonna hate, 2014, love at first listen, taylor swift",Shake It Off,Taylor Swift,68.0,2014-10-27
319,Waterloo,ABBA,"1,4,5",Chorus,Waterloo,ABBA,368274,1656106,"pop, 70s, abba, Disco, swedish",Waterloo,ABBA,59.0,1974-01-01
320,A Boy and a Girl,Eric Whitacre,"1,4,5",Intro,A Boy And A Girl,Eric Whitacre,4303,17834,"choral, Classical, contemporary classical, 2011, 2010s",A Boy And A Girl,Eric Whitacre,34.0,2010-01-01
321,Route 201 Day,Game Freak,"1,4,5",Intro and Verse,,,,,,,,,
322,Coumarine City,Game Freak,"1,4,5",Intro and Verse,Coumarine City,Game Freak,13,58,,,,,
323,Phantom Limb,The Shins,"1,4,5",Bridge,Phantom Limb,The Shins,554938,3642687,"indie, indie rock, indie pop, alternative, Mellow",Phantom Limb,The Shins,60.0,2007-01-23
324,500 Miles,The Proclaimers,"1,4,5",Verse,I'm Gonna Be (500 Miles),The Proclaimers,514770,3128779,"80s, pop, rock, Scottish, happy",I'm Gonna Be (500 Miles),The Proclaimers,76.0,2003-09-01
325,I Feel Fantastic,Jonathan Coulton,"1,4,5",Chorus,I Feel Fantastic,Jonathan Coulton,46860,280847,"comedy, singer-songwriter, funny, drugs, indie",I Feel Fantastic,Jonathan Coulton,46.0,2008-01-01
326,Leaving On A Jet Plane,John Denver,"1,4,5",Pre-Chorus and Chorus,Leaving on a Jet Plane,John Denver,151515,572569,"country, folk, John Denver, singer-songwriter, oldies",Leaving on a Jet Plane,John Denver,52.0,1969-10-14
327,Break My Stride,Blue Lagoon,"1,4,5",Chorus,Break My Stride,Blue Lagoon,24111,117912,"dance, pop, cover, eurodance, reggae",,,,
328,Sooner Or Later,Mat Kearney,"1,4,5",Chorus,Sooner Or Later,Mat Kearney,58040,381198,"pop, indie, rock, 2012, nicole",Sooner Or Later,Mat Kearney,42.0,2011-01-01
329,With A Few Good Friends,Carly Simon,"1,4,5",Chorus,With A Few Good Friends,Carly Simon,5600,16786,"winnie the pooh, Soundtrack, Disney, positive, Songs About Friendship",,,,
330,I Can Go The Distance,Disney - Hercules,"1,4,5",Chorus,I Can Go The Distance,Disney - Hercules,143,755,,,,,
331,Hokey Cokey,Black Lace,"1,4,5",Chorus,Hokey Cokey,Black Lace,3541,12821,"80s, dance, Wedding line dance",Hokey Cokey,Black Lace,43.0,1994-05-04
332,Circle Of Life,Carmen Twillie,"1,4,5",Intro,Circle of Life,Carmen Twillie,79860,288191,"Soundtrack, Disney, the lion king, Lion King, male vocalists",Circle of Life,Carmen Twillie,25.0,2014-06-24
333,The Tide is High,Atomic Kitten,"1,4,5",Chorus,The Tide Is High,Atomic Kitten,33132,118172,"pop, female vocalists, cover, Atomic Kitten, british",,,,
334,Don't You Forget About Me,Simple Minds,"1,4,5",Verse,Don't You (Forget About Me),Simple Minds,701497,3581107,"80s, new wave, pop, rock, pop rock",Don't You (Forget About Me),Simple Minds,75.0,1985
335,Don't You Forget About Me,Simple Minds,"1,4,5",Chorus,Don't You (Forget About Me),Simple Minds,701497,3581107,"80s, new wave, pop, rock, pop rock",Don't You (Forget About Me),Simple Minds,75.0,1985
336,Pokemon Center - Pokemon Red and Blue,Game Freak,"1,4,5",Chorus,,,,,,,,,
337,I Could Be The One,Avicii vs Nicky Romero,"1,4,5",Pre-Chorus and Chorus,I could be the one,Avicii vs. Nicky Romero,20980,169216,"House, trance, electronic, urban, electro house",,,,
338,Country,Keith Jarrett,"1,4,5",Intro,Country,Keith Jarrett,12436,42983,"jazz, piano, Keith Jarrett, jazz piano, instrumental",,,,
339,White Moon,The White Stripes,"1,4,5",Verse,White Moon,The White Stripes,259100,925757,"rock, alternative, alternative rock, The White Stripes, Garage Rock",White Moon,The White Stripes,32.0,2005-06-07
340,Hey Brother,Avicii,"1,4,5",Chorus,Hey Brother,Avicii,447893,3461317,"dance, pop, electronic, country house, country",Hey Brother,Avicii,79.0,2013-01-01
341,The Jetsons SNES - Stage 1,Hideki Takahagi and Mitsuhito Tanaka,"1,4,5",Chorus,,,,,,,,,
342,Jag kommer,Veronica Maggio,"1,4,5",Intro,Jag kommer,Veronica Maggio,82293,822484,"pop, swedish, indie, indie pop, Love",Jag kommer,Veronica Maggio,29.0,2011-01-01
343,Jag kommer,Veronica Maggio,"1,4,5",Chorus,Jag kommer,Veronica Maggio,82293,822484,"pop, swedish, indie, indie pop, Love",Jag kommer,Veronica Maggio,29.0,2011-01-01
344,Let's Dance,David Bowie,"1,4,5",Chorus,Let's Dance,David Bowie,538831,2640353,"80s, rock, classic rock, pop, glam rock",Let's Dance,David Bowie,35.0,2009-01-01
345,Girl On Fire,Alicia Keys,"1,4,5",Bridge,Girl on Fire,Alicia Keys,264062,1418511,"pop, soul, rnb, female vocalists, 2012",,,,
346,Dancing in the Dark,Bruce Springsteen,"1,4,5",Bridge,Dancing in the Dark,Bruce Springsteen,585905,3210736,"rock, 80s, classic rock, Bruce Springsteen, pop",,,,
347,Trojkaty i Kwadraty,Dawid Podsiadlo,"1,4,5",Verse,Trójkąty i kwadraty,Dawid Podsiadło,42589,446413,"polish, seen live, indie, pop, singer-songwriter",,,,
348,Pour Some Sugar on Me,Def Leppard,"1,4,5",Pre-Chorus,Pour Some Sugar on Me,Def Leppard,351233,1874514,"80s, rock, hard rock, classic rock, Def Leppard",Pour Some Sugar on Me,Def Leppard,49.0,2013-10-22
349,Pour Some Sugar on Me,Def Leppard,"1,4,5",Chorus,Pour Some Sugar on Me,Def Leppard,351233,1874514,"80s, rock, hard rock, classic rock, Def Leppard",Pour Some Sugar on Me,Def Leppard,49.0,2013-10-22
350,She Says What She Means,Sloan,"1,4,5",Outro,She Says What She Means,Sloan,11214,54273,"Canadian, rock, pop, seen live, alternative",She Says What She Means,Sloan,28.0,1998
351,Promise,Eve 6,"1,4,5",Chorus,Promise,EVE 6,108990,459437,"alternative rock, alternative, rock, Eve 6, punk",,,,
352,Shake It Off,Taylor Swift,"1,4,5",Verse,Shake It Off,Taylor Swift,405014,5412142,"pop, haters gonna hate, 2014, love at first listen, taylor swift",Shake It Off,Taylor Swift,68.0,2014-10-27
353,Shake It Off,Taylor Swift,"1,4,5",Pre-Chorus,Shake It Off,Taylor Swift,405014,5412142,"pop, haters gonna hate, 2014, love at first listen, taylor swift",Shake It Off,Taylor Swift,68.0,2014-10-27
354,How You Love Me,3LAU,"1,4,5",Verse,How You Love Me,3LAU,30728,146672,"kim kardashian, scarlett johansson, 3LAU, Tory Lane, naomi campbell",How You Love Me,3LAU,53.0,2014-01-01
355,Calling You - Vadim Spark Remix,Ellie Lawson,"1,4,5",Chorus,Calling You - Vadim Spark Remix,Ellie Lawson,68,142,,Calling You - Vadim Spark Remix,Ellie Lawson,0.0,2014-09-08
356,Dance - Re-Con Remix,Apollo,"1,4,5",Pre-Chorus,Dance - Re-Con Remix,Apollo,72,168,,,,,
357,Dance - Re-Con Remix,Apollo,"1,4,5",Chorus,Dance - Re-Con Remix,Apollo,72,168,,,,,
358,Voyager,Andre Sobota,"1,4,5",Verse,Voyager,Andre Sobota,61,209,,,,,
359,Beauty And A Beat,Justin Bieber,"1,4,5",Chorus,Beauty and a Beat,Justin Bieber,202446,1185252,"pop, dance, justin bieber, beauty and a beat, Hip-Hop",Beauty and a Beat,Justin Bieber,22.0,2016-08-05
360,The Captain,Biffy Clyro,"1,4,5",Intro,The Captain,Biffy Clyro,142128,1117436,"rock, alternative rock, alternative, seen live, Scottish",The Captain,Biffy Clyro,45.0,2009-11-06
361,The Captain,Biffy Clyro,"1,4,5",Verse,The Captain,Biffy Clyro,142128,1117436,"rock, alternative rock, alternative, seen live, Scottish",The Captain,Biffy Clyro,45.0,2009-11-06
362,The Sims 2 - Bare Bones,Mark Mothersbaugh,"1,4,5",Pre-Chorus,,,,,,,,,
363,Juste une gigue en Do,Soldat Louis,"1,4,5",Chorus,Juste une gigue en do,Soldat Louis,793,3832,"french, rock, French rock, celtic, rock francais",Juste une gigue en do,Soldat Louis,27.0,1990
364,Stache,Zedd,"1,4,5",Verse,Stache,Zedd,55574,276338,"House, electro house, electronic, electronica, dance",Stache,Zedd,39.0,2012-01-01
365,Karma Chameleon,Culture Club,"1,4,5",Verse and Pre-Chorus,Karma Chameleon,Culture Club,432400,1849951,"80s, pop, new wave, british, culture club",Karma Chameleon,Culture Club,63.0,1993-01-01
366,16 Military Wives,The Decemberists,"1,4,5",Verse,16 Military Wives,The Decemberists,157187,923577,"indie, indie rock, political, anti-war, indie pop",16 Military Wives,The Decemberists,44.0,2005
367,Someday,Zebrahead,"1,4,5",Chorus,Someday,Zebrahead,29785,120539,"punk rock, pop punk, zebrahead, rock, punk",,,,
368,Junebug,Robert Francis,"1,4,5",Chorus,Junebug,Robert Francis,45904,309268,"alternative, rock, indie, singer-songwriter, 00s",Junebug,Robert Francis,43.0,2009-10-09
369,Go Away,Eisley,"1,4,5",Intro,Go Away,Eisley,36919,234472,"indie, alternative, female vocalists, indie rock, female vocalist",,,,
370,Go Away,Eisley,"1,4,5",Chorus,Go Away,Eisley,36919,234472,"indie, alternative, female vocalists, indie rock, female vocalist",,,,
371,All Torn Down,The Living End,"1,4,5",Chorus,All Torn Down,The Living End,30531,151150,"punk, rock, seen live, australian, 90s",All Torn Down,The Living End,34.0,1999-01-15
372,For Fruits Basket,Okazaki Ritsuko,"1,4,5",Verse,For Fruits Basket,岡崎律子,7801,76290,"japanese, anime, j-pop, fruits basket, Soundtrack",,,,
373,Bad Reputation,Joan Jett,"1,4,5",Verse,Bad Reputation,Joan Jett,91367,510252,"rock, punk, 80s, female vocalists, punk rock",,,,
374,Bad Reputation,Joan Jett,"1,4,5",Chorus,Bad Reputation,Joan Jett,91367,510252,"rock, punk, 80s, female vocalists, punk rock",,,,
375,That's What Friends Do,Spongebob Squarepants,"1,4,5",Pre-Chorus and Chorus,That's What Friends Do,Spongebob Squarepants,3036,7737,"pop, rock, comedy, title is a full sentence, Not Just For Kids",That's What Friends Do,Spongebob Squarepants,35.0,2005-11-15
376,Sugar Sugar,The Archies,"1,4,5",Chorus,Sugar Sugar,The Archies,110360,440097,"oldies, 60s, pop, bubblegum, One Hit Wonders",,,,
377,Party Fears Two,Associates,"1,4,5",Verse,Party Fears Two,The Associates,35347,131987,"new wave, 80s, british, post-punk, 1982",Party Fears Two,The Associates,41.0,1982-05-14
378,Brazil,Deadmau5,"1,4,5",Chorus,Brazil,deadmau5,32622,237723,"electronic, House, chillout, beautiful, brazil",,,,
379,Fairytale of New York,The Pogues and Kirsty MacColl,"1,4,5",Verse,Fairytale Of New York,The Pogues And Kirsty MacColl,1113,8745,"80s, 1987, acclaimed music top 3000, critically acclaimed song",,,,
380,Fairytale of New York,The Pogues and Kirsty MacColl,"1,4,5",Chorus,Fairytale Of New York,The Pogues And Kirsty MacColl,1113,8745,"80s, 1987, acclaimed music top 3000, critically acclaimed song",,,,
381,Midnight Star,Weird Al Yankovic,"1,4,5",Chorus,Midnight Star,"""Weird Al"" Yankovic",12906,40992,"comedy, 80s, catchy, eighties, humour",Midnight Star,"""Weird Al"" Yankovic",25.0,1984-01-01
382,You're On My Mind,Imposs Ft J Perry,"1,4,5",Chorus,,,,,,,,,
383,Stardust Witch Meruru - Meteo Impact,Yukari Tamura,"1,4,5",Intro,,,,,,,,,
384,I Wanna Be Famous,Total Drama Island,"1,4,5",Verse and Pre-Chorus,I Wanna Be Famous,Total Drama Island,123,1439,opening,,,,
385,I Wanna Be Famous,Total Drama Island,"1,4,5",Chorus,I Wanna Be Famous,Total Drama Island,123,1439,opening,,,,
386,Brain,Banks,"1,4,5",Verse,Brain,Banks,143662,1312221,"pop, 2014, Mellow, female vocalists, electronic",,,,
387,World 3-2,Jumping Flash,"1,4,5",Chorus,World 3-2,Jumping Flash,2,33,,,,,
388,Queenie Eye,Paul McCartney,"1,4,5",Verse and Pre-Chorus,Queenie Eye,Paul McCartney,51802,251164,"rock, classic rock, british, pop, perfecto",Queenie Eye,Paul McCartney,34.0,2013-01-01
389,All Night Low,Violens,"1,4,5",Verse,All Night Low,Violens,6388,22525,"shoegaze, dream pop",All Night Low,Violens,7.0,2012-05-15
390,Afternoon Regret,Logan Mayers,"1,4,5",Verse,,,,,,,,,
391,Futari no Mojipittan,Kotoba no Puzzle,"1,4,5",Pre-Chorus and Chorus,,,,,,,,,
392,The Silvery Snowland,Motoi Sakuraba,"1,4,5",Verse,The Silvery Snowland,桜庭統,33,83,,,,,
393,Deja Vu,The World Ends With You,"1,4,5",Chorus,Deja Vu,The World Ends With You,211,1715,,,,,
394,Stranger In Your Soul,Transatlantic,"1,4,5",Outro,Stranger in Your Soul,Transatlantic,11756,82489,"Progressive rock, epic, Progressive, transatlantic, epic to end all epics",,,,
395,ichiban kirei na watashi wo,Mika Nakashima,"1,4,5",Chorus,Ichiban Kirei na Watashi wo,中島美嘉,345,3144,,,,,
396,Shimmer and Glow,Douglas Firs,"1,4,5",Chorus,Shimmer and Glow,Douglas Firs,559,1895,"SaG, from David",,,,
397,I'll Be There For You,The Rembrants,"1,4,5",Chorus,I'll Be There For You,The Rembrandts,165124,922476,"rock, 90s, pop, friends, Soundtrack",,,,
398,I Found A Way,Drake Bell,"1,4,5",Verse,I Found A Way,Drake Bell,18490,109468,"pop, pop rock, drake and josh theme, Soundtrack, power pop",I Found A Way,Drake Bell,56.0,2005-03-08
399,The Dream Team,Fake Problems,"1,4,5",Chorus,The Dream Team,Fake Problems,13335,73016,"indie, punk, pop rock, folk punk, hand claps",,,,
400,Firestone,Kygo feat Conrad,"1,4,5",Chorus,Firestone,Kygo Feat Conrad,1407,22550,,,,,
401,Firestone,Kygo feat Conrad,"1,4,5",Instrumental,Firestone,Kygo Feat Conrad,1407,22550,,,,,
402,I Got My Mind Set On You,George Harrison,"1,4,5",Verse and Pre-Chorus,Got My Mind Set on You,George Harrison,359537,1402424,"classic rock, 80s, george harrison, rock, pop",,,,
403,Fearless Challenger,NIGORO,"1,4,5",Pre-Chorus,Fearless Challenger,NIGORO,239,1885,,Fearless Challenger,NIGORO,8.0,2015-05-10
404,Hardware Store,Weird Al Yankovic,"1,4,5",Pre-Chorus,Hardware Store,"""Weird Al"" Yankovic",65696,312916,"comedy, funny, humor, parody, Weird Al",Hardware Store,"""Weird Al"" Yankovic",44.0,2003-05-20
405,Hook,Blues Traveler,"1,4,5",Chorus,Hook,Blues Traveler,179715,794591,"blues rock, 90s, rock, blues, harmonica",Hook,Blues Traveler,62.0,1994-01-01
406,All You Have To Do Is Practice,Riviera The Promised Land,"1,4,5",Pre-Chorus and Chorus,,,,,,,,,
407,I'll Make A Man Out Of You,Disney ,"1,4,5",Pre-Chorus,,,,,,,,,
408,I'll Make A Man Out Of You,Disney,"1,4,5",Chorus,I'll Make a Man Out of You,Disney,13006,96924,"Disney, Soundtrack, adrenaline, war, sing-along",,,,
409,Interplanet Janet,Schoolhouse Rock,"1,4,5",Pre-Chorus and Chorus,Interplanet Janet,Schoolhouse Rock,923,3247,"i know you have a little life in you yet, d flat already, have you seen my childhood, lyrically stunning, ogun la baraka",,,,
410,Chilly Waters,Nintendo,"1,4,5",Verse,Chilly Waters,Nintendo,2,2,,,,,
411,Closer to the Heart,Rush,"1,4,5",Verse,Closer to the Heart,Rush,216040,1142860,"Progressive rock, classic rock, rock, hard rock, Rush",,,,
412,King Of Wishful Thinking,Go West,"1,4,5",Chorus,King of Wishful Thinking,Go West,54382,192249,"80s, pop, Soundtrack, 90s, rock",King of Wishful Thinking,Go West,20.0,1990-07-28
413,Mean,Taylor Swift,"1,4,5",Verse and Pre-Chorus,Mean,Taylor Swift,238373,1963150,"country, pop, female vocalists, taylor swift, country pop",Mean,Taylor Swift,63.0,2010-10-25
414,Chrono Trigger - Frog's Theme,Yasunori Mitsuda,"1,4,5",Instrumental,Chrono Trigger - Frog's Theme,光田康典,47,180,,,,,
415,It's Raining Tacos,Parry Gripp,"1,4,5",Verse,It's Raining Tacos,Parry Gripp,27,85,,,,,
416,Still The One,Shania Twain,"1,4,5",Verse and Pre-Chorus,Still The One,Shania Twain,1755,8184,"pop, country rock",,,,
417,What I Like About You ft Fitz,Flo Rida,"1,4,5",Chorus,,,,,,,,,
418,Bingo,Traditional,"1,4,5",Chorus,Bingo,Traditional,5,5,,,,,
419,Reasons,Project 46,"1,4,5",Chorus,Reasons,Project 46,1110,4630,,,,,
420,Colors,Tobu,"1,4,5",Chorus,Colors,Tobu,7678,53106,ncs,,,,
421,Talking Body,Tove Lo,"1,4,5",Verse and Pre-Chorus,Talking Body,Tove Lo,270381,2234077,"pop, swedish, indie pop, love at first listen, eletropop",Talking Body,Tove Lo,67.0,2014-09-24
422,Talking Body,Tove Lo,"1,4,5",Chorus,Talking Body,Tove Lo,270381,2234077,"pop, swedish, indie pop, love at first listen, eletropop",Talking Body,Tove Lo,67.0,2014-09-24
423,Can't Say No,Myla Smith,"1,4,5",Verse,Can't Say No,Myla Smith,73,331,,,,,
424,Pressure,Paramore,"1,4,5",Intro,Pressure,Paramore,383433,3671990,"rock, Paramore, pop punk, alternative, female vocalists",Pressure,Paramore,61.0,2005-07-26
425,Be Thou My Vision,Chelsea Moon,"1,4,5",Verse,Be Thou My vision,Chelsea Moon,48,131,,,,,
426,Hook,Blues Traveler,"1,4,5",Solo,Hook,Blues Traveler,179715,794591,"blues rock, 90s, rock, blues, harmonica",Hook,Blues Traveler,62.0,1994-01-01
427,Hiiragi Town School Days - Muv-Luv Extra OST,Shinobu Kajihisa,"1,4,5",Pre-Chorus,,,,,,,,,
428,Billy Don't Be a Hero,Bo Donaldson and the Heywoods,"1,4,5",Chorus,Billy Don't Be a Hero,Bo Donaldson and the Heywoods,500,1769,"70s, sunshine pop, Lone Palm Coffee",,,,
429,Fuer Elise,Ludwig van Beethoven,"1,4,5",Bridge,Fuer Elise,Ludwig van Beethoven,7233,19533,,Fuer Elise,Ludwig van Beethoven,1.0,2017-04-01
430,I Want Your Girlfriend To Be My Girlfriend Too,Reel Big Fish,"1,4,5",Intro,I Want Your Girlfriend to Be My Girlfriend Too,Reel Big Fish,80978,353750,"ska, ska punk, rock, punk, ska-punk",I Want Your Girlfriend to Be My Girlfriend Too,Reel Big Fish,33.0,1998
431,Minority,Green Day,"1,4,5",Chorus,Minority,Green Day,367493,2189870,"punk rock, punk, rock, green day, alternative",Minority,Green Day,62.0,2000-10-03
432,Fukkatsu no Ideon,Isao Taira,"1,4,5",Verse and Pre-Chorus,Fukkatsu No Ideon,Isao Taira,119,1361,"japanese, anime, super robot",,,,
433,Rondo Alla Turca,Wolfgang Amadeus Mozart,"1,4,5",Chorus,Rondo alla Turca,Wolfgang Amadeus Mozart,117380,337492,"Classical, piano, instrumental, mozart, Wolfgang Amadeus Mozart",,,,
434,Rondo Alla Turca,Wolfgang Amadeus Mozart,"1,4,5",Solo,Rondo alla Turca,Wolfgang Amadeus Mozart,117380,337492,"Classical, piano, instrumental, mozart, Wolfgang Amadeus Mozart",,,,
435,W pieciu smakach,Monika Brodka,"1,4,5",Verse,W pięciu smakach,Brodka,59428,640717,"polish, electronic, alternative, female vocalists, experimental",,,,
436,High School Never Ends,Bowling For Soup,"1,4,5",Chorus,High School Never Ends,Bowling for Soup,114898,656293,"punk rock, pop punk, punk, rock, pop",,,,
437,Oliver's Army,Elvis Costello,"1,4,5",Verse,Oliver's Army,Elvis Costello,65593,296786,"rock, new wave, british, pop, classic rock",,,,
438,Oliver's Army,Elvis Costello,"1,4,5",Chorus,Oliver's Army,Elvis Costello,65593,296786,"rock, new wave, british, pop, classic rock",,,,
439,Georgia,Vance Joy,"1,4,5",Bridge,Georgia,Vance Joy,238889,1248985,"alternative rock, australian, fire, Passion, indie",Georgia,Vance Joy,72.0,2014-09-09
440,Shut Up and Dance,Walk The Moon,"1,4,5",Verse and Pre-Chorus,Shut Up and Dance,Walk the Moon,421219,3497651,"indie pop, pop, rock, dance, american",,,,
441,The First Cut Is The Deepest,Sheryl Crow,"1,4,5",Chorus,The First Cut Is the Deepest,Sheryl Crow,161068,609662,"female vocalists, pop, rock, Sheryl Crow, cover",,,,
442,Working For The Weekend,Loverboy,"1,4,5",Chorus,Working for the Weekend,Loverboy,219017,764113,"80s, rock, classic rock, pop, Canadian",Working for the Weekend,Loverboy,69.0,1981
443,Subdivisions,Rush,"1,4,5",Outro,Subdivisions,Rush,136514,832991,"Progressive rock, rock, classic rock, 80s, Rush",Subdivisions,Rush,55.0,1982-09-09
444,Ouka Ranman,KEYTALK,"1,4,5",Verse,Ouka Ranman,KEYTALK,105,1492,anime,,,,
445,Cotton Eye Joe,Rednex,"1,4,5",Chorus,Cotton Eye Joe,Rednex,283700,994150,"country, dance, 90s, eurodance, party",Cotton Eye Joe,Rednex,60.0,1995-04-03
446,The Magic of Youth,The Mighty Mighty Bosstones,"1,4,5",Verse,The Magic of Youth,The Mighty Mighty Bosstones,4670,16308,"male vocalist, 2011, 2010s, english lyrics, the mighty mighty bosstones",The Magic of Youth,The Mighty Mighty Bosstones,15.0,2011-12-06
447,Flea Waltz,Unknown,"1,4,5",Verse,,,,,,,,,
448,Stuck,The Heavy,"1,4,5",Chorus,Stuck,The Heavy,36146,139921,"rock, blues rock, indie, soul, alternative rock",,,,
449,Through Glass,Stone Sour,"1,4,5",Chorus,Through Glass,Stone Sour,703374,5933863,"rock, alternative rock, hard rock, Stone Sour, metal",Through Glass,Stone Sour,74.0,2006
450,Your turn,Helloween,"1,4,5",Chorus,Your Turn,Helloween,21741,102165,"Power metal, heavy metal, metal, favorite songs, metal ballads",,,,
451,The Upper Hand,The Mighty Mighty Bosstones,"1,4,5",Verse,The Upper Hand,The Mighty Mighty Bosstones,4232,13067,"ska punk, male vocalist, 2011, 2010s, english lyrics",The Upper Hand,The Mighty Mighty Bosstones,11.0,2011-12-06
452,Mother Pheasant Plucker,Hank Green,"1,4,5",Chorus,Mother Pheasant Plucker,Hank Green,95,967,,,,,
453,Je t'aime - moi non plus,Serge Gainsbourg,"1,4,5",Verse,Je t'aime - moi non plus,Serge Gainsbourg,20,51,,,,,
454,Squid Kid,Nintendo,"1,4,5",Verse,Squid Kid,Nintendo,1,4,"catchy, tv, ost, fun, vgm",,,,
455,Contest Assembly Hall,Game Freak,"1,4,5",Verse,,,,,,,,,
456,Dadsong,Old Spice,"1,4,5",Chorus,,,,,,,,,
457,Second Chance,Shinedown,"1,4,5",Verse and Pre-Chorus,Second Chance,Shinedown,293236,2308542,"rock, shinedown, alternative rock, hard rock, alternative",Second Chance,Shinedown,69.0,2008-06-24
458,Education Sentimentale,Maxime Le Forestier,"1,4,5",Verse,Education sentimentale,Maxime Le Forestier,13112,34560,"chanson francaise, french, singer-songwriter, chanson francophone, chanson",,,,
459,Need Your Loving Tonight,Queen,"1,4,5",Verse,Need Your Loving Tonight,Queen,67053,275988,"rock, classic rock, Queen, 80s, hard rock",Need Your Loving Tonight,Queen,32.0,1980-06-27
460,Cheerleader,OMI,"1,4,5",Pre-Chorus and Chorus,Cheerleader,Omi,74443,446877,"reggae, saxophone, 2012 single, fallon, jamaican",,,,
461,Chromatic Aberration,Native Construct,"1,4,5",Chorus,Chromatic Aberration,Native Construct,5074,32699,"Progressive metal, Progressive rock, epic, Masterpiece, epic ",Chromatic Aberration,Native Construct,29.0,2015-04-21
462,Dead Air,Chvrches,"1,4,5",Chorus,Dead Air,CHVRCHES,68680,392928,"synthpop, electronic, indie, 2014, Soundtrack",Dead Air,CHVRCHES,48.0,2014-11-04
463,Heart And Soul,Twin Atlantic,"1,4,5",Chorus,Heart And Soul,Twin Atlantic,55668,233981,"british, rock, Scottish, 2014 single, bbc radio1 playlist 2014",,,,
464,Sheep,Pink Floyd,"1,4,5",Outro,Sheep,Pink Floyd,362831,2261379,"Progressive rock, classic rock, Pink Floyd, rock, Psychedelic Rock",Sheep,Pink Floyd,55.0,1977-01-23
465,Ob-La-Di Ob-La-Da,The Beatles,"1,4,5",Bridge,Ob-La-Di Ob-La-Da,The Beatles,38938,145936,"classic rock, rock, The Beatles, 60s, oldies",,,,
466,Message In A Bottle,The Police,"1,4,5",Pre-Chorus and Chorus,Message in a Bottle,The Police,713875,3509649,"rock, 80s, classic rock, new wave, pop",,,,
467,Shark Attack,Grouplove,"1,4,5",Pre-Chorus,Shark Attack,Grouplove,56858,284202,"indie pop, rock, indie rock, dance, happy",Shark Attack,Grouplove,50.0,2013-09-17
468,Coffee and TV,blur,"1,4,5",Chorus,Coffee & TV,Blur,683256,4016013,"britpop, indie, rock, british, 90s",,,,
469,Roja,A R Rahman,"1,4,5",Chorus,Roja,A.R. Rahman,760,2568,,,,,
470,Harmonic Voltage,Animusic,"1,4,5",Outro,Harmonic Voltage,Animusic,260,1407,my new,,,,
471,Every Man Has A Molly,Say Anything,"1,4,5",Verse,Every Man Has a Molly,Say Anything,135926,884103,"indie rock, Say Anything, rock, punk, indie",Every Man Has a Molly,Say Anything,48.0,2005-10-01
472,Alive,Krewella,"1,4,5",Pre-Chorus and Chorus,Alive,Krewella,143478,1005263,"electronic, House, dubstep, dance, Progressive House",Alive,Krewella,57.0,2012-06-18
473,Hey Ya,Obadiah Parker,"1,4,5",Chorus,Hey Ya,Obadiah Parker,52048,381188,"acoustic, cover, folk, indie, rock",,,,
474,Hey Ya,Obadiah Parker,"1,4,5",Verse,Hey Ya,Obadiah Parker,52048,381188,"acoustic, cover, folk, indie, rock",,,,
475,Don't Let's Talk About Lisa,Lonestar,"1,4,5",Chorus,Don't Let's Talk About Lisa,Lonestar,7736,17293,"new country, modern country, country, get happy, songs about me",Don't Let's Talk About Lisa,Lonestar,23.0,1999
476,Love Is All,Roger Glover,"1,4,5",Verse,Love Is All,Roger Glover,13643,62065,"rock, Pop-Rock, butterfly ball, 1974, Beatlesque",,,,
477,After Light,Rustie,"1,4,5",Chorus,After Light,Rustie,69684,302924,"dubstep, electronic, wonky, indie, british",After Light,Rustie,35.0,2011-10-31
478,A Strange Education,The Cinematics,"1,4,5",Chorus,A Strange Education,The Cinematics,100101,438368,"indie, indie rock, rock, alternative, Awesome",A Strange Education,The Cinematics,40.0,2007-03-26
479,Simple Song,The Shins,"1,4,5",Chorus,Simple Song,The Shins,398289,2657264,"indie, alternative, rock, indie rock, 2012",Simple Song,The Shins,65.0,2012-03-16
480,Everything Right Is Wrong Again,They Might Be Giants,"1,4,5",Verse,Everything Right Is Wrong Again,They Might Be Giants,22749,106314,"rock, alternative, alternative rock, fun, title is a full sentence",Everything Right Is Wrong Again,They Might Be Giants,30.0,1986-11-04
481,Summer Nights,John Travolta and Olivia Newton-John,"1,4,5",Chorus,Summer Nights,John Travolta & Olivia Newton-John,76231,378375,"Soundtrack, oldies, musical, pop, 70s",,,,
482,Part Of Me,Katy Perry,"1,4,5",Verse and Pre-Chorus,Part of Me,Katy Perry,357369,3405962,"pop, katy perry, female vocalists, dance, 2012",,,,
483,Part Of Me,Katy Perry,"1,4,5",Chorus,Part of Me,Katy Perry,357369,3405962,"pop, katy perry, female vocalists, dance, 2012",,,,
484,Cellophane,Sia,"1,4,5",Bridge,Cellophane,Sia,94813,507808,"female vocalists, pop, eclectic, drama, australian",Cellophane,Sia,45.0,2015-05-01
485,Walt Grace's Submarine Test,John Mayer,"1,4,5",Chorus,Walt Grace's Submarine Test,John Mayer,36,134,,,,,
