,artist,cp,section,song,type
9613,Chris Tomlin,"6,4,1",Chorus,Our God,3 chord
9614,Eric Clapton,"6,4,1",Intro and Verse,Tears in Heaven,3 chord
9615,Bob Dylan,"6,4,1",Intro and Verse,Don't Think Twice It's Alright,3 chord
9616,Agoaniki-P,"6,4,1",Intro and Verse,Double Lariat - featuring Megurine Luka,3 chord
9617,Mumford and Sons,"6,4,1",Bridge,Sigh No More,3 chord
9618,Joan Osborne,"6,4,1",Intro,One of Us,3 chord
9619,Craig Austin,"6,4,1",Chorus,Take Flight,3 chord
9620,Birds of Tokyo,"6,4,1",Intro,Lanterns,3 chord
9621,Birds of Tokyo,"6,4,1",Verse,Lanterns,3 chord
9622,Birds of Tokyo,"6,4,1",Chorus,Lanterns,3 chord
9623,Globus,"6,4,1",Intro,Europa,3 chord
9624,Globus,"6,4,1",Verse,Europa,3 chord
9625,Globus,"6,4,1",Chorus,Europa,3 chord
9626,Globus,"6,4,1",Chorus Lead-Out,Europa,3 chord
9627,Globus,"6,4,1",Pre-Chorus,Europa,3 chord
9628,Bruce Rowland,"6,4,1",Intro and Verse,Jessica's Theme,3 chord
9629,Regina Spektor,"6,4,1",Verse,The Call,3 chord
9630,David Bowie,"6,4,1",Verse,Soul Love,3 chord
9631,Steve Winwood,"6,4,1",Chorus,Higher Love,3 chord
9632,Danny McCarthy,"6,4,1",Intro,Silver Scrapes,3 chord
9633,Danny McCarthy,"6,4,1",Verse,Silver Scrapes,3 chord
9634,Chris Tomlin,"6,4,1",Intro,Our God,3 chord
9635,Katy Perry,"6,4,1",Chorus,Unconditionally,3 chord
9636,Green Day,"6,4,1",Verse,Amy,3 chord
9637,High School Musical,"6,4,1",Chorus,Stick to the Status Quo,3 chord
9638,Klaas,"6,4,1",Intro and Verse,Heartbeat,3 chord
9639,Bob Marley,"6,4,1",Chorus,No Woman No Cry,3 chord
9640,Bob Marley,"6,4,1",Verse,No Woman No Cry,3 chord
9641,Panama,"6,4,1",Chorus,Always,3 chord
9642,Stacie Orrico,"6,4,1",Verse,Promise,3 chord
9643,nigahiga,"6,4,1",Chorus,Nice Guys,3 chord
9644,Del Amitri,"6,4,1",Verse,Nothing Ever Happens,3 chord
9645,Mayhem,"6,4,1",Intro,Eggs -Furries In A Blender RMX-,3 chord
9646,Mayhem,"6,4,1",Pre-Chorus,Eggs -Furries In A Blender RMX-,3 chord
9647,Afrojack,"6,4,1",Chorus,The Spark,3 chord
9648,Katy Perry,"6,4,1",Verse,Unconditionally,3 chord
9649,Neighborhood Annoyance ,"6,4,1",Solo,ICE CREAM TRUCK,3 chord
9650,U2,"6,4,1",Verse,Stuck in a Moment You Can't Get Out Of,3 chord
9651,Josh Groban,"6,4,1",Chorus,You Raise Me Up,3 chord
9652,The Offspring,"6,4,1",Verse,You're Gonna Go Far Kid,3 chord
9653,The Offspring,"6,4,1",Pre-Chorus and Chorus,You're Gonna Go Far Kid,3 chord
9654,Icon for Hire,"6,4,1",Chorus,Pieces,3 chord
9655,Bruce Dickinson,"6,4,1",Chorus,Tears of The Dragon,3 chord
9656,Manowar,"6,4,1",Chorus,Master of the wind,3 chord
9657,Iron Maiden,"6,4,1",Chorus,Blood Brothers,3 chord
9658,Iron Maiden,"6,4,1",Verse and Pre-Chorus,No more lies,3 chord
9659,Braken,"6,4,1",Intro and Verse,To The Stars,3 chord
9660,Orchestral Manoeuvres in the Dark,"6,4,1",Intro,Electricity,3 chord
9661,Bob Dylan,"6,4,1",Chorus,Don't Think Twice It's Alright,3 chord
9662,Luke Bryan,"6,4,1",Verse,Crash My Party,3 chord
9663,System F,"6,4,1",Chorus,Out of the Blue,3 chord
9664,Pegboard Nerds,"6,4,1",Chorus,Self Destruct,3 chord
9665,The Wanted,"6,4,1",Chorus,We Own The Night,3 chord
9666,Avicii,"6,4,1",Intro and Verse,Hey Brother,3 chord
9667,Jimmy Barnes,"6,4,1",Verse,Working Class Man,3 chord
9668,South Park,"6,4,1",Intro and Verse,Princess Kenny,3 chord
9669,the Sing Team,"6,4,1",Chorus,Satisfied in You,3 chord
9670,Eagle Eye Cherry,"6,4,1",Intro,Save Tonight,3 chord
9671,Alex Lloyd,"6,4,1",Chorus,Amazing,3 chord
9672,Natalie Imbruglia,"6,4,1",Chorus,Torn,3 chord
9673,Natalie Imbruglia,"6,4,1",Outro,Torn,3 chord
9674,Gamma ray,"6,4,1",Instrumental,Lake of tears,3 chord
9675,Switchfoot,"6,4,1",Intro,Your Love is a Song,3 chord
9676,Gamma ray,"6,4,1",Chorus,Lake of tears,3 chord
9677,Wolfgang Gartner,"6,4,1",Verse,Illmerica,3 chord
9678,Jimi Hendrix,"6,4,1",Intro and Verse,Bold as love,3 chord
9679,Jimi Hendrix,"6,4,1",Chorus,Bold as love,3 chord
9680,A Great Big World,"6,4,1",Intro,Say Something,3 chord
9681,Israel Kamakawiwoole,"6,4,1",Intro,Somewhere Over the Rainbow,3 chord
9682,Israel Kamakawiwoole,"6,4,1",Bridge,Somewhere Over the Rainbow,3 chord
9683,Imagine Dragons,"6,4,1",Intro,Nothing Left to Say,3 chord
9684,Imagine Dragons,"6,4,1",Chorus,Nothing Left to Say,3 chord
9685,Muse,"6,4,1",Verse,New Born,3 chord
9686,MistFolk,"6,4,1",Pre-Chorus and Chorus,Storm Spirits,3 chord
9687,Enya,"6,4,1",Verse,May It Be,3 chord
9688,Imagine Dragons,"6,4,1",Intro and Verse,Demons,3 chord
9689,Imagine Dragons,"6,4,1",Pre-Chorus and Chorus,Demons,3 chord
9690,Tamas Wells,"6,4,1",Verse and Pre-Chorus,From Prying Plans into the Fire,3 chord
9691,Enya,"6,4,1",Verse,Only Time,3 chord
9692,Klingande,"6,4,1",Chorus,Jubel,3 chord
9693,Klingande,"6,4,1",Verse,Punga,3 chord
9694,Sophie B Hawkins,"6,4,1",Intro and Verse,As I Lay Me Down,3 chord
9695,Iron Maiden,"6,4,1",Verse and Pre-Chorus,The Wicker Man,3 chord
9696,Iron Maiden,"6,4,1",Chorus Lead-Out,The Wicker Man,3 chord
9697,Scorpions,"6,4,1",Chorus,Still loving you,3 chord
9698,Idina Menzel,"6,4,1",Chorus,Let It Go,3 chord
9699,UNiTE,"6,4,1",Chorus,Ai -'ation-,3 chord
9700,Adel Tawil,"6,4,1",Verse,Lieder,3 chord
9701,Paris Hilton,"6,4,1",Chorus,Nothing In This World,3 chord
9702,Enrique Iglesias,"6,4,1",Chorus,Bailamos,3 chord
9703,Lindsey Stirling,"6,4,1",Verse,Shadows,3 chord
9704,Miriam Bryant,"6,4,1",Chorus,Push Play,3 chord
9705,The Album Leaf,"6,4,1",Intro,Twenty Two Fourteen,3 chord
9706,John Denver,"6,4,1",Chorus,Take Me Home - Country Roads,3 chord
9707,Two Steps From Hell,"6,4,1",Chorus,Birth of A Hero,3 chord
9708,Brad Paisley and Alison Krauss,"6,4,1",Chorus,Whiskey Lullaby,3 chord
9709,Dj Fortify,"6,4,1",Solo 1,PEWDIEPIE Song,3 chord
9710,Dj Fortify,"6,4,1",Solo 2,PEWDIEPIE Song,3 chord
9711,Tiesto,"6,4,1",Verse,Red Lights,3 chord
9712,Audien feat Ruby Prophet,"6,4,1",Instrumental,Circles,3 chord
9713,Alesso and Dirty South,"6,4,1",Instrumental,City of Dreams,3 chord
9714,Alligatoah,"6,4,1",Intro,Willst Du,3 chord
9715,Alligatoah,"6,4,1",Chorus,Willst Du,3 chord
9716,Ozzy Osbourne,"6,4,1",Chorus,Crazy Train,3 chord
9717,Zedd-ft-Foxes,"6,4,1",Chorus,Clarity Vicetone Remix ,3 chord
9718,Dzeko-and-Torres-vs-Sarah-McLeod,"6,4,1",Chorus,Hurricane,3 chord
9719,A-ha,"6,4,1",Chorus,Take On Me,3 chord
9720,Bonnie Mckee,"6,4,1",Verse,American Girl,3 chord
9721,Virtual Riot,"6,4,1",Chorus,Energy Drink,3 chord
9722,Gary Allan,"6,4,1",Chorus,Smoke Rings in the Dark,3 chord
9723,Flo RIda,"6,4,1",Chorus,Whistle,3 chord
9724,YB,"6,4,1",Intro and Verse,Flying Butterfly,3 chord
9725,Timbaland ft Katy Perry,"6,4,1",Intro and Verse,If We Ever Meet Again,3 chord
9726,Timbaland ft Katy Perry,"6,4,1",Chorus,If We Ever Meet Again,3 chord
9727,YB,"6,4,1",Pre-Chorus,Flying Butterfly,3 chord
9728,YB,"6,4,1",Chorus,Flying Butterfly,3 chord
9729,The Offspring,"6,4,1",Verse,Self Esteem,3 chord
9730,Sanna Nielsen,"6,4,1",Chorus,Undo,3 chord
9731,Cash Cash ft Bebe Rexha,"6,4,1",Verse,Take Me Home,3 chord
9732,Cash Cash ft Bebe Rexha,"6,4,1",Pre-Chorus,Take Me Home,3 chord
9733,Alligatoah,"6,4,1",Pre-Chorus and Chorus,Narben,3 chord
9734,Daddy Yankee,"6,4,1",Chorus,Limbo,3 chord
9735,Cash Cash ft Bebe Rexha,"6,4,1",Chorus,Take Me Home,3 chord
9736,Lorde,"6,4,1",Verse,Ribs,3 chord
9737,Tiesto,"6,4,1",Chorus,Red Lights,3 chord
9738,The Script,"6,4,1",Intro,Hall of Fame,3 chord
9739,The Script,"6,4,1",Chorus,Hall of Fame,3 chord
9740,Judas Priest,"6,4,1",Verse and Pre-Chorus,Breaking The Law,3 chord
9741,John Legend,"6,4,1",Intro and Verse,All of Me,3 chord
9742,John Legend,"6,4,1",Pre-Chorus and Chorus,All of Me,3 chord
9743,The All-American Rejects,"6,4,1",Verse,Dirty Little Secret,3 chord
9744,Chiddy Bang,"6,4,1",Intro,Opposite of Adults,3 chord
9745,Kastenholt and Dee,"6,4,1",Chorus,I'm In Love,3 chord
9746,Alphaville,"6,4,1",Intro,Big In Japan,3 chord
9747,Mumford and Sons,"6,4,1",Chorus,Little Lion Man,3 chord
9748,Florida Georgia Line,"6,4,1",Chorus,Cruise,3 chord
9749,Red Hot Chili Peppers,"6,4,1",Verse,Under The Bridge,3 chord
9750,All Levels at Once,"6,4,1",Chorus,Phoenix,3 chord
9751,Fergie,"6,4,1",Chorus,Big Girls Don't Cry,3 chord
9752,Sheppard,"6,4,1",Chorus,Geronimo,3 chord
9753,Kelly Clarkson,"6,4,1",Pre-Chorus and Chorus,Breakaway,3 chord
9754,Kelly Clarkson,"6,4,1",Chorus,Since U Been Gone,3 chord
9755,Kelly Clarkson,"6,4,1",Bridge,Since U Been Gone,3 chord
9756,Cadence,"6,4,1",Chorus,I Surrender Hixxy Hardcore Remix,3 chord
9757,Austra,"6,4,1",Chorus,Painful Like,3 chord
9758,HertzDevil,"6,4,1",Intro,Blueshift Galaxy,3 chord
9759,Delta Rae,"6,4,1",Chorus,If I Loved You,3 chord
9760,Scott McKenzie,"6,4,1",Chorus,San Francisco,3 chord
9761,Alexandra Stan,"6,4,1",Chorus,Get Back ASAP,3 chord
9762,Sam Smith,"6,4,1",Chorus,Stay With Me,3 chord
9763,Guns N' Roses,"6,4,1",Chorus,Patience,3 chord
9764,Avicii,"6,4,1",Pre-Chorus,Liar Liar,3 chord
9765,Black Eyed Peas,"6,4,1",Chorus,Where Is The Love,3 chord
9766,Cold Chisel,"6,4,1",Verse,Khe Sanh,3 chord
9767,Tom Swoon and Lush and Simon,"6,4,1",Chorus,Ahead Of Us,3 chord
9768,Harry Gregson-Williams,"6,4,1",Outro,Metal Gear,3 chord
9769,Justice Crew,"6,4,1",Instrumental,Que Sera,3 chord
9770,Shakira,"6,4,1",Chorus,Whenever Wherever,3 chord
9771,Shakira,"6,4,1",Instrumental,Whenever Wherever,3 chord
9772,Michael Walthius,"6,4,1",Chorus,Dreaming in Stereo - Under The Moon,3 chord
9773,Re-con and Demand,"6,4,1",Chorus,Like a Rainbow,3 chord
9774,Les Friction,"6,4,1",Chorus,What You Need,3 chord
9775,David Willcocks,"6,4,1",Verse,O Come O Come Emmanuel,3 chord
9776,John O'Callaghan ft Sarah Howells,"6,4,1",Verse and Pre-Chorus,Find Yourself,3 chord
9777,Nightwish,"6,4,1",Outro,The Poet and the Pendulum,3 chord
9778,Olly Murs ,"6,4,1",Chorus,Dear Darlin,3 chord
9779,Muse,"6,4,1",Verse,Guiding Light,3 chord
9780,Jacksfilms,"6,4,1",Chorus,Jack City Bich,3 chord
9781,Fall Out Boy,"6,4,1",Verse,Young Volcanoes,3 chord
9782,Fall Out Boy,"6,4,1",Chorus,Young Volcanoes,3 chord
9783,Florence and the Machine,"6,4,1",Chorus,Cosmic Love,3 chord
9784,Florence and the Machine,"6,4,1",Verse,Cosmic Love,3 chord
9785,M83-Kygo,"6,4,1",Chorus,M83 - Wait Kygo Remix,3 chord
9786,Enrique ft Descemer Bueno Gente De Zona,"6,4,1",Verse and Pre-Chorus,Bailando Espanol,3 chord
9787,Enrique ft Descemer Bueno Gente De Zona,"6,4,1",Chorus,Bailando Espanol,3 chord
9788,Kors-K--DJ-Command,"6,4,1",Chorus,Smooooch---Akiba-Kobo-Remix-,3 chord
9789,Neo Cortex,"6,4,1",Chorus,Elements 2004,3 chord
9790,Neo Cortex,"6,4,1",Chorus,Elements,3 chord
9791,Neo Cortex,"6,4,1",Verse,Elements,3 chord
9792,Technikal and Nathalie ,"6,4,1",Chorus,Big Sky,3 chord
9793,Neo Cortex,"6,4,1",Instrumental,Elements,3 chord
9794,Regina Spektor,"6,4,1",Chorus,The Calculation,3 chord
9795,Florence and the Machine,"6,4,1",Pre-Chorus and Chorus,Lover To Lover,3 chord
9796,Dido,"6,4,1",Chorus,White Flag,3 chord
9797,Australian Crawl,"6,4,1",Pre-Chorus and Chorus,Reckless,3 chord
9798,Lana Del Rey,"6,4,1",Verse,Old Money,3 chord
9799,Sarah McLachlan,"6,4,1",Intro,Adia,3 chord
9800,Sarah McLachlan,"6,4,1",Verse and Pre-Chorus,Adia,3 chord
9801,Green Day,"6,4,1",Instrumental,Boulevard of Broken Dreams,3 chord
9802,Jacksfilms,"6,4,1",Chorus,Give This Song A Title,3 chord
9803,Florida Georgia Line,"6,4,1",Chorus,Dirt,3 chord
9804,Global Deejays,"6,4,1",Chorus,Kids,3 chord
9805,Piao Shu,"6,4,1",Verse,Pingfan zhi lu,3 chord
9806,Eric Whitacre,"6,4,1",Intro,A Boy and a Girl,3 chord
9807,John Mayer,"6,4,1",Chorus,Half of My Heart,3 chord
9808,Eric Whitacre,"6,4,1",Chorus,A Boy and a Girl,3 chord
9809,Robbie Williams,"6,4,1",Chorus,Supreme,3 chord
9810,AFI,"6,4,1",Chorus,Girl's Not Grey,3 chord
9811,Jonathan Coulton,"6,4,1",Pre-Chorus,Shop Vac,3 chord
9812,Bodyjar,"6,4,1",Chorus,Not the Same,3 chord
9813,Mat Kearney,"6,4,1",Pre-Chorus,Sooner Or Later,3 chord
9814,One Republic,"6,4,1",Chorus,Stop And Stare,3 chord
9815,Maison and Dragen,"6,4,1",Chorus,Colosseum,3 chord
9816,Green Day,"6,4,1",Chorus,X-Kid,3 chord
9817,Heart,"6,4,1",Verse and Pre-Chorus,What About Love,3 chord
9818,Avicii,"6,4,1",Chorus,Hey Brother,3 chord
9819,Salia,"6,4,1",Intro,Trust,3 chord
9820,Salia,"6,4,1",Verse,Trust,3 chord
9821,Passion Pit,"6,4,1",Pre-Chorus,Carried Away,3 chord
9822,Passion Pit,"6,4,1",Chorus,Carried Away,3 chord
9823,Alesso,"6,4,1",Chorus,Heroes,3 chord
9824,Alesso,"6,4,1",Pre-Chorus and Chorus,Heroes,3 chord
9825,Brand New,"6,4,1",Verse,The Quiet Things That No One Ever Knows,3 chord
9826,Chelsea Ward,"6,4,1",Verse,That's Falling in Love,3 chord
9827,Wakabayashi Mitsuru,"6,4,1",Intro,This Game,3 chord
9828,Paul McCartney,"6,4,1",Verse,Meat Free Monday,3 chord
9829,A Great Big World,"6,4,1",Intro and Verse,Say Something,3 chord
9830,A Great Big World,"6,4,1",Chorus,Say Something,3 chord
9831,Schmoyoho,"6,4,1",Chorus,Scoreboard,3 chord
9832,Fences,"6,4,1",Verse,Arrows,3 chord
9833,Avicii,"6,4,1",Pre-Chorus and Chorus,Father Told Me,3 chord
9834,Roomie,"6,4,1",Chorus,How To Make A Number One Song Without Talent,3 chord
9835,Chipzel,"6,4,1",Chorus,Otis,3 chord
9836,Avicii,"6,4,1",Chorus,The Days,3 chord
9837,The Temper Trap,"6,4,1",Intro,Sweet Disposition,3 chord
9838,Avicii,"6,4,1",Instrumental,The Nights FIFA 15 Soundtrack,3 chord
9839,3OH3,"6,4,1",Chorus,Don't Trust Me,3 chord
9840,Dax Johnson,"6,4,1",Verse,A Moment In The Life Of Me,3 chord
9841,Dustin Kensrue,"6,4,1",Chorus,Rejoice,3 chord
9842,Fountains Of Wayne,"6,4,1",Chorus,Stacy's Mum,3 chord
9843,The Calling,"6,4,1",Chorus,Wherever You Will Go,3 chord
9844,Calvin Harris,"6,4,1",Chorus,I Need Your Love,3 chord
9845,Calvin Harris,"6,4,1",Intro,I Need Your Love,3 chord
9846,Liz Phair,"6,4,1",Verse,Why Can't I,3 chord
9847,Justice Crew,"6,4,1",Chorus,Que Sera,3 chord
9848,Bastille,"6,4,1",Verse,What Would You Do,3 chord
9849,Bastille,"6,4,1",Chorus,What Would You Do,3 chord
9850,Taylor Swift,"6,4,1",Chorus,Bad Blood,3 chord
9851,The Divine Comedy,"6,4,1",Bridge,At The Indie Disco,3 chord
9852,The Gaslight Anthem,"6,4,1",Verse,The Spirit of Jazz,3 chord
9853,The Gaslight Anthem,"6,4,1",Verse,The Navesink Banks,3 chord
9854,Echosmith,"6,4,1",Chorus,Cool Kids,3 chord
9855,The Gaslight Anthem,"6,4,1",Verse,Have Mercy,3 chord
9856,Re-Con,"6,4,1",Chorus,Bang-9,3 chord
9857,Echosmith,"6,4,1",Intro,Cool Kids,3 chord
9858,Echosmith,"6,4,1",Verse,Cool Kids,3 chord
9859,The Zombies,"6,4,1",Bridge,Hung Up On A Dream,3 chord
9860,Jimi Hendrix,"6,4,1",Verse,Bold As Love,3 chord
9861,Biffy Clyro,"6,4,1",Verse,The Captain,3 chord
9862,The Gaslight Anthem,"6,4,1",Chorus,45,3 chord
9863,Tomas Danko,"6,4,1",Verse,Plastic Pop,3 chord
9864,Within Temptation,"6,4,1",Chorus,Iron,3 chord
9865,OK Go,"6,4,1",Verse,Needing - Getting,3 chord
9866,OK Go,"6,4,1",Chorus,Needing - Getting,3 chord
9867,Martin Tungevaag,"6,4,1",Solo,Wicked Wonderland,3 chord
9868,Soldat Louis,"6,4,1",Chorus,Tirer des caisses,3 chord
9869,Bob Mould,"6,4,1",Chorus,Dog on Fire - Daily Show Theme,3 chord
9870,Avicii,"6,4,1",Intro,Wake Me Up,3 chord
9871,Avicii,"6,4,1",Verse,Wake Me Up,3 chord
9872,Avicii,"6,4,1",Pre-Chorus,Wake Me Up,3 chord
9873,Ed Sheeran ,"6,4,1",Chorus,Give Me Love,3 chord
9874,John Murphy,"6,4,1",Instrumental,Sunshine,3 chord
9875,The Living End,"6,4,1",Verse,All Torn Down,3 chord
9876,The Naked and Famous,"6,4,1",Chorus,Rolling Waves,3 chord
9877,Caramell,"6,4,1",Chorus,Caramelldansen,3 chord
9878,Michael Buble,"6,4,1",Verse,It's a Beautiful Day,3 chord
9879,Vangelis,"6,4,1",Intro and Verse,Hymne,3 chord
9880,Wyclef Jean,"6,4,1",Verse,Divine Sorrow,3 chord
9881,The Lumineers,"6,4,1",Verse and Pre-Chorus,Stubborn Love,3 chord
9882,The Lumineers,"6,4,1",Intro,Stubborn Love,3 chord
9883,The Naked and Famous,"6,4,1",Verse,Rolling Waves,3 chord
9884,Lady Gaga,"6,4,1",Chorus Lead-Out,Scheisse,3 chord
9885,Girl's Day,"6,4,1",Bridge,Nothing Lasts Forever,3 chord
9886,Fire Bomber,"6,4,1",Chorus,Macross 7 - Try Again,3 chord
9887,Alice Cooper,"6,4,1",Pre-Chorus and Chorus,Poison,3 chord
9888,Au5,"6,4,1",Intro,Snowblind feat Tasha Baxter,3 chord
9889,The Pogues and Kirsty MacColl,"6,4,1",Verse,Fairytale of New York,3 chord
9890,Owl City,"6,4,1",Verse,When Can I See You Again,3 chord
9891,Owl City,"6,4,1",Pre-Chorus,When Can I See You Again,3 chord
9892,Owl City,"6,4,1",Chorus,When Can I See You Again,3 chord
9893,The Beatles,"6,4,1",Verse and Pre-Chorus,I Should Have Known Better,3 chord
9894,John Martin,"6,4,1",Verse,Anywhere For You,3 chord
9895,Jay Sean,"6,4,1",Chorus,Down,3 chord
9896,Sam Smith,"6,4,1",Verse,Like I Can ,3 chord
9897,Teddybears,"6,4,1",Chorus,Hey Boy,3 chord
9898,Motoi Sakuraba,"6,4,1",Verse,The Imperial City,3 chord
9899,We the Kings,"6,4,1",Verse,Stay Young,3 chord
9900,Gregory Alan Isakov,"6,4,1",Verse,The Stable Song,3 chord
9901,Coldplay,"6,4,1",Bridge,Fix You,3 chord
9902,GRL,"6,4,1",Pre-Chorus,Ugly Heart,3 chord
9903,Sia,"6,4,1",Chorus,Elastic Heart,3 chord
9904,The Reasoning,"6,4,1",Chorus,A Musing Dream,3 chord
9905,Nelly,"6,4,1",Chorus,Just A Dream,3 chord
9906,Sia,"6,4,1",Pre-Chorus,Elastic Heart,3 chord
9907,Douglas Firs,"6,4,1",Outro,Shimmer and Glow,3 chord
9908,One Direction,"6,4,1",Verse,Nobody Compares,3 chord
9909,Robin Schulz,"6,4,1",Verse and Pre-Chorus,Sun goes down,3 chord
9910,The Presets,"6,4,1",Verse,Fall Hook N Sling Remix ,3 chord
9911,The Presets,"6,4,1",Chorus,Fall Hook N Sling Remix ,3 chord
9912,Rhianna ,"6,4,1",Verse and Pre-Chorus,We Found Love Ft Calvin Harris ,3 chord
9913,Rhianna ,"6,4,1",Pre-Chorus,We Found Love Ft Calvin Harris ,3 chord
9914,Rhianna,"6,4,1",Chorus,We Found Love Ft Calvin Harris,3 chord
9915,United Sonic Alliance,"6,4,1",Chorus,Secrets From The Night,3 chord
9916,Mark Forster feat Sido,"6,4,1",Instrumental,Au Revoir,3 chord
9917,Strong Bad,"6,4,1",Chorus,The Cheat is Not Dead,3 chord
9918,One Direction,"6,4,1",Pre-Chorus,Heart Attack ,3 chord
9919,The Living End,"6,4,1",Chorus,Who's Gonna Save Us,3 chord
9920,Murtagh,"6,4,1",Chorus,Alpha,3 chord
9921,Lady Gaga,"6,4,1",Chorus,LoveGame,3 chord
9922,Weezer,"6,4,1",Chorus,No One Else,3 chord
9923,Harry Gregson-Williams,"6,4,1",Outro 1,Metal Gear,3 chord
9924,Grateful Dead,"6,4,1",Chorus,Sugaree,3 chord
9925,Grateful Dead,"6,4,1",Verse and Pre-Chorus,Sugaree,3 chord
9926,Agnes,"6,4,1",Chorus,Right Here Right Now,3 chord
9927,Sia,"6,4,1",Verse,Elastic Heart,3 chord
9928,Robin Schulz ft Jasmine Thompson,"6,4,1",Verse,Sun Goes Down,3 chord
9929,Robin Schulz ft Jasmine Thompson,"6,4,1",Pre-Chorus,Sun Goes Down,3 chord
9930,Parry Gripp,"6,4,1",Chorus,Space Unicorn,3 chord
9931,Jonathan Coulton,"6,4,1",Verse,Re Your Brains,3 chord
9932,Eagle Eye Cherry,"6,4,1",Chorus,Save Tonight,3 chord
9933,Elliott Smith,"6,4,1",Verse,A Fond Farewell,3 chord
9934,Sia,"6,4,1",Chorus Lead-Out,Elastic Heart,3 chord
9935,5 Seconds Of Summer,"6,4,1",Chorus,Amnesia,3 chord
9936,The Horrible Crowes,"6,4,1",Intro and Verse,Crush,3 chord
9937,The Horrible Crowes,"6,4,1",Outro,Crush,3 chord
9938,Calvin Harris,"6,4,1",Pre-Chorus,I Need Your Love,3 chord
9939,Truth,"6,4,1",Intro,Left Swipe Dat,3 chord
9940,Galantis,"6,4,1",Intro,Gold Dust,3 chord
9941,Galantis,"6,4,1",Chorus,Gold Dust,3 chord
9942,Ikke Huftgold,"6,4,1",Bridge, Dicke Titten Kartoffelsalat,3 chord
9943,Nause,"6,4,1",Chorus,Another You,3 chord
9944,Taylor Swift,"6,4,1",Chorus,Mean,3 chord
9945,Robert Plant and Alison Krauss,"6,4,1",Verse,Gone Gone Gone,3 chord
9946,Jordin Sparks,"6,4,1",Chorus,Battlefield,3 chord
9947,Arthur,"6,4,1",Chorus,Beginning of time,3 chord
9948,Carly Rae Jepsen,"6,4,1",Chorus,I Really Like You,3 chord
9949,Lemon Demon,"6,4,1",Chorus,Word Disassociation,3 chord
9950,Tristam and Braken,"6,4,1",Chorus,Far Away,3 chord
9951,Arcade Fire,"6,4,1",Chorus Lead-Out,Rebellion,3 chord
9952,Villagers,"6,4,1",Intro and Verse,Nothing Arrived,3 chord
9953,Villagers,"6,4,1",Chorus,Nothing Arrived,3 chord
9954,Becky G,"6,4,1",Chorus,Can't Stop Dancin',3 chord
9955,Jamie Christopherson,"6,4,1",Chorus,Rules of Nature,3 chord
9956,Myla Smith,"6,4,1",Verse,Can't Say No,3 chord
9957,Tommy Tutone,"6,4,1",Pre-Chorus and Chorus,867-5309 Jenny,3 chord
9958,Built By Titan,"6,4,1",Pre-Chorus,Heart And Soul,3 chord
9959,Metric,"6,4,1",Intro and Verse,Help I'm Alive,3 chord
9960,Cher,"6,4,1",Verse,Half Breed,3 chord
9961,Vlad,"6,4,1",Chorus,Magicka 2,3 chord
9962,Imagine Dragons,"6,4,1",Verse,Nothing Left to Say,3 chord
9963,Alestorm,"6,4,1",Verse and Pre-Chorus,Shipwrecked,3 chord
9964,Jonathan Mann,"6,4,1",Chorus,Hey Defriender,3 chord
9965,Liviu Hodor ft Mona,"6,4,1",Pre-Chorus,Sweet Love,3 chord
9966,Dannic and Shermanology,"6,4,1",Chorus,Wait For You,3 chord
9967,Phineas and Ferb,"6,4,1",Chorus,Frenemies,3 chord
9968,Animusic,"6,4,1",Verse,Acoustic Curves,3 chord
9969,Crystal Castles,"6,4,1",Instrumental,Reckless,3 chord
9970,Bloc Party,"6,4,1",Chorus,Flux,3 chord
9971,Carrie Underwood,"6,4,1",Chorus,Good Girl,3 chord
9972,Crystal Castles,"6,4,1",Chorus,Untrust Us,3 chord
9973,Stephen Foster,"6,4,1",Verse,If You've Only Got A Moustache,3 chord
9974,Reel Big Fish,"6,4,1",Intro,Everyone Else is an Asshole,3 chord
9975,Bambee,"6,4,1",Chorus,Cowgirl,3 chord
9976,Ella Eyre,"6,4,1",Chorus,If I Go,3 chord
9977,Pendulum,"6,4,1",Pre-Chorus,Propane Nightmares,3 chord
9978,Crayon Pop,"6,4,1",Chorus,FM,3 chord
9979,Steerner ft Corey Saxon,"6,4,1",Verse and Pre-Chorus,Sparks,3 chord
9980,The Electric Warehouse,"6,4,1",Chorus,The Hero,3 chord
9981,Miriam Bryant,"6,4,1",Verse and Pre-Chorus,Dragon,3 chord
9982,Miriam Bryant,"6,4,1",Chorus,Dragon,3 chord
9983,DJ Antoine ft The Beat Shakers,"6,4,1",Instrumental,Ma Cherie,3 chord
9984,Daze,"6,4,1",Chorus,Sea Of Love -Remix-,3 chord
9985,Daze,"6,4,1",Verse and Pre-Chorus,Sea Of Love -Remix-,3 chord
9986,Coldplay,"6,4,1",Verse,Charlie Brown,3 chord
9987,Coldplay,"6,4,1",Chorus,Charlie Brown,3 chord
9988,Martin Garrix,"6,4,1",Intro,Don't Look Down feat Usher,3 chord
9989,Alphabeat,"6,4,1",Chorus,Vacation,3 chord
9990,Luc Arbogast,"6,4,1",Verse,Nausicaa,3 chord
9991,The Mighty Mighty Bosstones,"6,4,1",Chorus,So Sad To Say,3 chord
9992,Alesso,"6,4,1",Chorus,If It Wasn't For You,3 chord
9993,Emilie Autumn,"6,4,1",Chorus,What If,3 chord
9994,Shakey Graves,"6,4,1",Intro,Dearly Departed,3 chord
