0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm),song (Spotify),artist (Spotify),popularity (Spotify),release date (Spotify)
Different Heaven,"1,5,6",Pre-Chorus,My Heart,3 chord,My Heart,Different Heaven,14777.0,92740.0,"indie, dupstep, drumstep, hairy chest, hunks",,,,
Different Heaven,"1,5,6",Chorus,Nekozilla,3 chord,Nekozilla,Different Heaven,10301.0,55423.0,"indie, dupstep, hairy chest, hunks, nice fur",Nekozilla,Different Heaven,63.0,2015-07-31
Dillon Francis,"1,5,2",Verse,IDGAFOS,3 chord,IDGAFOS,Dillon Francis,992.0,4598.0,,,,,
Dillon Francis and Kygo,"1,2,6",Chorus,Coming Over ft James Hersey,3 chord,,,,,,,,,
Dillon Francis and Sultan and Ned Shepard,"4,5,6",Chorus,When We Were Young - Vicetone Remix,3 chord,,,,,,,,,
Dimitri Vangelis and Wyman,"1,5,1",Chorus,ID2,3 chord,,,,,,,,,
Dimitri Vangelis and Wyman,"5,2,6",Chorus,Silver Sun - Lights Anthem,3 chord,,,,,,,,,
Dimitri Vegas - MOGUAI and Like Mike,"1,2,3",Chorus,Mammoth,3 chord,,,,,,,,,
Dimitri Vegas and Like Mike,"4,5,6",Chorus,Find Tomorrow - Ocarina,3 chord,,,,,,,,,
Dinka,"6,5,6",Chorus,Lotus - Soundprank Remix,3 chord,Lotus - Soundprank Remix,Dinka,202.0,462.0,,Lotus - Soundprank Remix,Dinka,8.0,2013-06-24
Dinka,"4,6,5",Chorus,Never Let Go,3 chord,Never Let Go,Dinka,38.0,135.0,,,,,
Dinosaur Jr,"1,4,5",Chorus,Tiny,3 chord,,,,,,,,,
Dinosaurs,"1,5,4",Chorus,Yee,3 chord,Yee,Dinosaurs,7.0,17.0,,,,,
Dio,"4,5,6",Chorus,Rainbow in the Dark,3 chord,Rainbow in the Dark,Dio,378302.0,2455117.0,"heavy metal, hard rock, metal, Dio, classic rock",Rainbow in the Dark,Dio,62.0,1983
Dion and the Belmonts,"1,4,5",Chorus,Teenager in Love,3 chord,Teenager in Love,Dion & The Belmonts,8360.0,27567.0,"oldies, Rock and Roll, 50s, pop, rockabilly",,,,
Diplo and Sleepy Tom,"1,5,6",Pre-Chorus,Be Right There,3 chord,Be Right There,Diplo AND Sleepy Tom,481.0,4836.0,,,,,
Dire Straits,"4,5,6",Verse,Brothers In Arms,3 chord,Brothers in Arms,Dire Straits,610934.0,3971094.0,"classic rock, rock, 80s, dire straits, guitar",Brothers in Arms,Dire Straits,54.0,1985-05-13
Dire Straits,"1,4,5",Chorus,Money For Nothing,3 chord,Money for Nothing,Dire Straits,762506.0,4438302.0,"rock, classic rock, 80s, dire straits, guitar",Money for Nothing,Dire Straits,64.0,1985-05-13
Dire Straits,"1,5,1",Verse,Skateaway,3 chord,Skateaway,Dire Straits,97313.0,361204.0,"rock, classic rock, 80s, dire straits, guitar",Skateaway,Dire Straits,43.0,1980-10-17
Dire Straits,"1,5,4",Chorus,Sultans of Swing,3 chord,Sultans of Swing,Dire Straits,1067749.0,7714684.0,"classic rock, rock, dire straits, 80s, guitar",Sultans of Swing,Dire Straits,68.0,1978-10-07
Dirty Projectors,"5,1,4",Verse,Dance For You,3 chord,Dance for You,Dirty Projectors,88328.0,409437.0,"indie, indie rock, folk, similar to: pavement, seen live",,,,
Dirty South,"1,5,4",Chorus,Alive - Blinders Remix,3 chord,Alive - Blinders Remix,Dirty South,20.0,55.0,,,,,
Disasterpeace,"5,2,1",Verse,Adventure,3 chord,Adventure,Disasterpeace,28962.0,139866.0,"instrumental, video game music, electronic, chiptune",,,,
Disasterpeace,"1,5,4",Verse,FEZ - Home,3 chord,FEZ - Home,Disasterpeace,2.0,3.0,,,,,
Disclosure,"1,6,2",Chorus,Magnets ft Lorde,3 chord,Magnets FT LORDE,Disclosure,40.0,449.0,,,,,
Disclosure,"6,3,6",Intro,White Noise feat AlunaGeorge,3 chord,White Noise feat AlunaGeorge,Disclosure,613.0,4148.0,"somafm, poptron",,,,
Disgaea,"1,2,5",Intro and Verse,Prinny My Love,3 chord,Prinny My Love,佐藤天平,634.0,4198.0,,,,,
Disney,"1,5,1",Verse,A Whole New World,3 chord,A Whole New World,Disney,24130.0,150181.0,"Disney, Soundtrack, aladdin, Soundtracks, Love",,,,
Disney,"1,4,5",Chorus,Can You Feel The Love Tonight,3 chord,Can You Feel the Love Tonight,Disney,16745.0,96046.0,"Soundtrack, Disney, Love, the lion king, Lion King",,,,
Disney,"4,5,3",Chorus,Colors Of The Wind,3 chord,Colors Of The Wind,Disney,12496.0,74682.0,"Soundtrack, Disney, Soundtracks, favorites, Love",,,,
Disney,"4,1,4",Chorus,Hakuna Matata,3 chord,Hakuna Matata,Ernie Sabella,71164.0,268362.0,"Soundtrack, Disney, the lion king, movie themes, saxophone",,,,
Disney,"1,5,4",Chorus Lead-Out,I'll Make A Man Out Of You,3 chord,I'll Make a Man Out of You,Disney,13007.0,96926.0,"Disney, Soundtrack, adrenaline, war, sing-along",,,,
Disney,"1,5,4",Verse,Kiss The Girl,3 chord,Kiss the Girl,Disney,16314.0,84176.0,"Disney, Soundtrack, Awesome, Soundtracks, childrens",,,,
Disney,"1,6,2",Verse,Reflection,3 chord,Reflection,Disney,6692.0,37099.0,"Disney, Mulan, thoughtful, melancholy, ruhig",,,,
Disney ,"1,4,5",Pre-Chorus,I'll Make A Man Out Of You,3 chord,,,,,,,,,
Disney - Hercules,"1,4,5",Chorus,I Can Go The Distance,3 chord,I Can Go The Distance,Disney - Hercules,143.0,755.0,,,,,
Disney Jodi Benson,"4,5,6",Pre-Chorus,Part of Your World,3 chord,,,,,,,,,
Dispatch,"1,5,2",Verse,The General,3 chord,The General,Dispatch,262685.0,1306457.0,"acoustic, indie, chill, Mellow, rock",The General,Dispatch,63.0,1997-09-01
Disperse,"1,6,2",Chorus,Message From Atlantis,3 chord,Message from Atlantis,Disperse,8081.0,50673.0,"metal, Progressive metal, Progressive rock, polish",Message from Atlantis,Disperse,29.0,2013-02-19
Divine,"1,5,2",Chorus,I'm So Beautiful,3 chord,I'm So Beautiful,Divine,5832.0,26561.0,"Disco, 80s, Hi-NRG, dance, pop",I'm So Beautiful,Divine,35.0,2011-10-10
Dixie Chicks,"1,5,4",Chorus,Goodbye Earl,3 chord,Goodbye Earl,Dixie Chicks,90954.0,320492.0,"country, dixie chicks, female vocalists, fun, murder",Goodbye Earl,Dixie Chicks,60.0,1999-08-27
Dj Encore feat Engelina,"1,4,5",Chorus,I See Right Through To You,3 chord,I See Right Through to You,DJ Encore,34129.0,190389.0,"vocal trance, trance, dance, electronic, female vocalists",,,,
Dj Fortify,"1,5,6",Solo 1,PEWDIEPIE Song,3 chord,PEWDIEPIE Song,DJ Fortify,1071.0,11046.0,Hello Pewdie c:,,,,
Dj Sammy,"1,4,5",Intro,Heaven,3 chord,Heaven,DJ Sammy,105573.0,574881.0,"dance, trance, vocal trance, techno, electronic",,,,
Dobu Usagi,"1,2,5",Intro,Thor's Hammer,3 chord,,,,,,,,,
Dolly Parton,"1,5,6",Chorus,Jolene,3 chord,Jolene,Dolly Parton,488663.0,2534923.0,"country, female vocalists, classic country, Dolly Parton, folk",Jolene,Dolly Parton,77.0,1974-02-04
Dom Fera,"1,6,4",Verse,Deck'd,3 chord,,,,,,,,,
Don Diablo feat Emeni,"6,5,6",Instrumental,Universe,3 chord,Universe,Don Diablo feat Emeni,9.0,20.0,,,,,
Don Henley,"1,5,4",Chorus,The Boys of Summer,3 chord,The Boys Of Summer,Don Henley,452048.0,2027133.0,"80s, classic rock, rock, Don Henley, pop",The Boys Of Summer,Don Henley,78.0,1984-01-01
Don McLean,"1,5,6",Chorus,American Pie,3 chord,American Pie,Don McLean,548294.0,2911941.0,"classic rock, 70s, folk, singer-songwriter, rock",American Pie,Don McLean,75.0,1971
Donna Lewis,"1,5,1",Chorus,I Love You Always Forever,3 chord,I Love You Always Forever,Donna Lewis,123107.0,697478.0,"pop, 90s, female vocalists, Love, british",I Love You Always Forever,Donna Lewis,72.0,1996-04-16
Donna Summer,"6,5,6",Intro,Hot Stuff,3 chord,Hot Stuff,Donna Summer,315434.0,1167173.0,"Disco, 70s, dance, female vocalists, pop",Hot Stuff,Donna Summer,65.0,1979-04-25
Donna Summer,"4,5,1",Chorus,I Feel Love,3 chord,I Feel Love,Donna Summer,258030.0,950946.0,"Disco, 70s, dance, electronic, pop",I Feel Love,Donna Summer,52.0,1987-01-01
Donna Summer,"5,4,6",Intro,MacArthur Park,3 chord,MacArthur Park,Donna Summer,46126.0,170451.0,"Disco, 70s, female vocalists, pop, cover",,,,
Donovan,"1,5,1",Outro,Atlantis,3 chord,Atlantis,Donovan,109649.0,369970.0,"60s, folk, singer-songwriter, psychedelic, donovan",Atlantis,Donovan,52.0,1969-08-11
Dooley Wilson,"1,5,1",Verse,As Time Goes By,3 chord,As Time Goes By,Dooley Wilson,23670.0,90032.0,"Soundtrack, casablanca, oldies, as time goes by, romantic",As Time Goes By,Dooley Wilson,40.0,1943-01-23
Double Take,"1,5,4",Chorus,Hot Problems,3 chord,Hot Problems,Double Take,916.0,4892.0,"pop, heavy metal, black metal, metalcore, indie",,,,
Doug Hammer,"4,5,6",Intro,In The Fields,3 chord,In The Fields,Doug Hammer,5289.0,21612.0,"piano, easy listening, a 2414 piano, doug hammer, in the fields",,,,
Douglas Firs,"1,4,5",Chorus,Shimmer and Glow,3 chord,Shimmer and Glow,Douglas Firs,559.0,1895.0,"SaG, from David",,,,
Dousk,"1,2,3",Chorus,Winchme,3 chord,Winchme,Dousk,2420.0,9673.0,House,Winchme,Dousk,26.0,2012-05-24
Downgoes Fraser,"4,5,4",Chorus,Why You Always Lying,3 chord,Why You Always Lying,Downgoes Fraser,27.0,101.0,,,,,
Dr DRE,"6,3,6",Instrumental,Still Dre,3 chord,Still Dre,Dr. Dre,62166.0,239600.0,"Hip-Hop, rap, Gangsta Rap, hip hop, Dre",,,,
Dragonforce,"1,5,4",Chorus,Through the Fire and Flames,3 chord,Through the Fire and Flames,DragonForce,379135.0,3255741.0,"Power metal, speed metal, metal, Extreme Power Metal, DragonForce",Through the Fire and Flames,DragonForce,4.0,2017-12-20
Drake,"4,6,5",Chorus,Hold On We're Going Home,3 chord,Hold on We're Going Home,Drake,12866.0,144854.0,"Drake, i love this song so much, hip hop, rnb, top 40",,,,
Drake,"1,4,5",Chorus,Marvin's Room,3 chord,Marvin's Room,Drake,32021.0,309292.0,"Hip-Hop, pop, rap, Canadian, Drake",,,,
Drake,"1,2,6",Verse,One Dance,3 chord,One Dance,Drake,367654.0,3143069.0,"Drake, dancehall, 2016, Kyla, ovo",One Dance,Drake,83.0,2016-05-06
Drake,"4,6,5",Verse,Take Care,3 chord,Take Care,Drake,401827.0,2298278.0,"Drake, pop, rnb, Rihanna, 2011",Take Care,Drake,72.0,2011-11-15
Drake,"6,5,6",Intro and Verse,Trophies,3 chord,Trophies,Drake,11751.0,125448.0,"rap, Hip-Hop, hip hop, Drake, Love",,,,
Drake Bell,"1,4,5",Verse,I Found A Way,3 chord,I Found A Way,Drake Bell,18503.0,109552.0,"pop, pop rock, drake and josh theme, Soundtrack, power pop",I Found A Way,Drake Bell,56.0,2005-03-08
Drake Bell,"1,6,2",Chorus,In The End,3 chord,In the End,Drake Bell,7138.0,31859.0,"drake bell, pop, power pop, pop rock, heard on Pandora",,,,
Drake ft Rihanna,"4,6,5",Intro,Take Care,3 chord,Take Care,Drake,401827.0,2298278.0,"Drake, pop, rnb, Rihanna, 2011",Take Care,Drake,72.0,2011-11-15
Dream Theater,"6,5,4",Verse,Another Day,3 chord,Another Day,Dream Theater,226022.0,1750098.0,"Progressive metal, Progressive rock, Dream Theater, metal, Progressive",Another Day,Dream Theater,57.0,1992-06-30
Driftless Pony Club,"1,5,4",Verse,House of 1982- Built Like A Ship,3 chord,,,,,,,,,
Druid and Sharkey,"5,4,1",Chorus,Rocket To The Moon,3 chord,Rocket To The Moon,Druid and Sharkey,1.0,1.0,,,,,
Dschinghis Khan,"1,2,6",Chorus,Moskau,3 chord,Moskau,Dschinghis Khan,79135.0,427289.0,"Disco, Schlager, german, 80s, deutsch",Moskau,Dschinghis Khan,53.0,2013-07-02
Dubvision,"6,3,4",Chorus,Backlash,3 chord,Backlash,DubVision,297.0,1046.0,,,,,
Dubvision,"4,6,5",Chorus,Broken,3 chord,Broken,DubVision,924.0,3577.0,"clanddi jinkcego, jessyca wilson",,,,
Duck Sauce,"5,2,4",Chorus,Barbra Streisand,3 chord,Barbra Streisand,Duck Sauce,183567.0,1092154.0,"dance, House, Disco, funk, electronic",Barbra Streisand,Duck Sauce,50.0,2014-04-15
Duke Ellington,"1,5,1",Verse,C Jam Blues,3 chord,C Jam Blues,Duke Ellington,21767.0,49946.0,"jazz, swing, Big Band, duke ellington, blues",C Jam Blues,Duke Ellington,25.0,1958
Dung Truong,"1,6,2",Loop,Allusion World,3 chord,,,,,,,,,
Duran Duran,"1,4,5",Pre-Chorus and Chorus,Come Undone,3 chord,Come Undone,Duran Duran,292310.0,1755526.0,"80s, new wave, pop, 90s, rock",Come Undone,Duran Duran,68.0,1993-02-15
Duran Duran,"1,5,4",Chorus,Hungry Like The Wolf,3 chord,Hungry Like the Wolf,Duran Duran,429594.0,1919593.0,"80s, new wave, pop, duran duran, rock",Hungry Like the Wolf,Duran Duran,62.0,1998-11-09
Duran Duran,"4,1,5",Chorus,Rio,3 chord,Rio,Duran Duran,245343.0,1003352.0,"80s, new wave, pop, duran duran, new romantic",,,,
Dustin Kensrue,"1,6,5",Verse,It Is Finished,3 chord,It Is Finished,Dustin Kensrue,2182.0,10164.0,"relevant magazine, mars hill",,,,
Dustin Kensrue,"1,4,1",Verse,Rejoice,3 chord,Rejoice,Dustin Kensrue,4542.0,21100.0,"relevant magazine, mars hill",,,,
Dusty Springfield,"1,4,1",Bridge,I Only Want To Be With You,3 chord,I Only Want To Be With You,Dusty Springfield,125718.0,489167.0,"60s, female vocalists, oldies, pop, soul",I Only Want To Be With You,Dusty Springfield,60.0,1964-06-26
Dusty Springfield,"1,6,2",Chorus,You Don't Have to Say You Love Me,3 chord,You Don't Have To Say You Love Me,Dusty Springfield,181300.0,673740.0,"60s, oldies, female vocalists, soul, pop",You Don't Have To Say You Love Me,Dusty Springfield,51.0,1966-07
Dzeko and Torres,"1,5,6",Chorus,Air,3 chord,,,,,,,,,
Dzeko and Torres,"6,4,1",Chorus,L'Amour Toujours - Tiesto Edit,3 chord,,,,,,,,,
Dzeko-and-Torres-vs-Sarah-McLeod,"1,2,6",Chorus,Hurricane,3 chord,,,,,,,,,
E-Type,"1,6,2",Intro,Angels Crying,3 chord,Angels Crying,E-Type,28647.0,166537.0,"dance, pop, 90s, eurodance, favorites",Angels Crying,E-Type,48.0,1998-01-01
E-Type,"6,3,4",Chorus,Back 2 Life,3 chord,Back 2 Life,E-Type,7068.0,30170.0,"pop, swedish, 2011, rakt over disc, shame that they made so bad track",,,,
E-Type,"6,1,5",Chorus,This Is The Way,3 chord,This Is the Way,E-Type,18887.0,89404.0,"dance, eurodance, 90s, electronic, pop",,,,
EDX,"1,2,6",Chorus,Cool You Off,3 chord,,,,,,,,,
ES Posthumus,"5,6,4",Verse,Antissa,3 chord,Antissa,E.S. Posthumus,39698.0,201179.0,"new age, instrumental, ambient, Soundtrack, chillout",Antissa,E.S. Posthumus,26.0,2001-01-01
Eagle Eye Cherry,"1,5,6",Intro,Save Tonight,3 chord,Save Tonight,Eagle-Eye Cherry,728546.0,4373054.0,"90s, rock, pop, alternative, pop rock",Save Tonight,Eagle-Eye Cherry,66.0,1998-07-13
Eagles,"1,2,6",Chorus,Hotel California,3 chord,Hotel California,Eagles,1185239.0,7064726.0,"classic rock, rock, 70s, Eagles, oldies",,,,
East and Young,"4,1,5",Chorus,Starting Again,3 chord,Starting again,East and Young,13.0,62.0,,,,,
Echo and the Bunnymen,"1,4,6",Bridge,The Killing Moon,3 chord,The Killing Moon,Echo & the Bunnymen,603973.0,3568493.0,"80s, new wave, post-punk, alternative, Donnie Darko",The Killing Moon,Echo & the Bunnymen,66.0,1985-11-11
Echosmith,"1,4,1",Verse,Bright,3 chord,Bright,Echosmith,142471.0,729344.0,"pop, chillout, indie pop, female vocalists, 2015",Bright,Echosmith,65.0,2013-10-04
Echosmith,"1,5,6",Chorus,Cool Kids,3 chord,Cool Kids,Echosmith,344684.0,2514929.0,"indie pop, pop, love at first listen, 2014, alternative rock",Cool Kids,Echosmith,71.0,2013-10-04
Echotape,"6,4,2",Chorus,Far From Heaven,3 chord,Far from Heaven,Echotape,234.0,893.0,,,,,
Ed Sheeran,"1,5,4",Verse,I See Fire,3 chord,I See Fire,Ed Sheeran,438945.0,4107341.0,"Soundtrack, folk, Ed Sheeran, indie, male vocalists",I See Fire,Ed Sheeran,66.0,2013-12-10
Ed Sheeran,"4,5,1",Chorus,Lego House,3 chord,Lego House,Ed Sheeran,408864.0,3526230.0,"acoustic, british, soul, folk, alternative",Lego House,Ed Sheeran,73.0,2011-09-09
Ed Sheeran,"1,6,5",Verse,Photograph,3 chord,Photograph,Ed Sheeran,435746.0,3769904.0,"love at first listen, Ed Sheeran, pop, emotional, my song",Photograph,Ed Sheeran,86.0,2014-06-21
Ed Sheeran,"1,2,5",Pre-Chorus and Chorus,Thinking Out Loud,3 chord,Thinking Out Loud,Ed Sheeran,541067.0,5200958.0,"soul, Love, lovesong, 10s, middle",,,,
Ed Sheeran ,"1,6,4",Chorus,Give Me Love,3 chord,,,,,,,,,
Eddie Money,"6,5,6",Verse,Shakin,3 chord,Shakin',Eddie Money,64472.0,200647.0,"classic rock, rock, 80s, eddie money, Guitar Hero",Shakin',Eddie Money,57.0,1983
Edith Piaf,"1,4,1",Chorus,Milord,3 chord,Milord,Édith Piaf,183238.0,790014.0,"french, chanson, edith piaf, 50s, chanson francaise",Milord,Édith Piaf,40.0,1987-10-31
Edith Piaf,"6,1,4",Chorus,Padam Padam,3 chord,Padam Padam,Édith Piaf,126015.0,492883.0,"french, chanson, female vocalists, edith piaf, chanson francaise",,,,
Edvard Grieg,"1,6,1",Intro,Morning Mood,3 chord,Morning Mood,Edvard Grieg,82190.0,184851.0,"Classical, piano, Klassik, instrumental, classic",Morning Mood,Edvard Grieg,39.0,2013-08-30
Edvard Grieg,"6,5,1",Verse,Solveig's Song,3 chord,Solveig's Song,Edvard Grieg,58774.0,125146.0,"Classical, Edvard Grieg, piano, classic, symphonic",Solveig's Song,Edvard Grieg,17.0,1978
Edward Maya,"1,5,6",Instrumental,Stereo Love,3 chord,Stereo Love,Edward Maya,95935.0,762039.0,"dance, House, club, electronic, summer 2010",,,,
Ehrencrona,"1,5,4",Verse,This is so Good,3 chord,This Is So Good,Ehrencrona,745.0,4358.0,,This Is So Good,Ehrencrona,29.0,2012-04-06
Eiffel65,"6,5,4",Instrumental,Blue,3 chord,Blue,Eiffel 65,55917.0,304710.0,"dance, electronic, 90s, pop, trance",,,,
Eiffel65,"4,5,6",Chorus,Hyperlink - Deep Down,3 chord,,,,,,,,,
Eiffel65,"1,5,2",Instrumental,Living In A Bubble,3 chord,Living In A Bubble,Eiffel 65,21878.0,100491.0,"electronic, dance, electronica, pop, techno",,,,
Eir Aoi,"1,2,3",Verse,Sirius,3 chord,Sirius,Eir Aoi,3397.0,22182.0,"anime, anime soundtrack, opening, Anime Themes and OST, anime ost",,,,
Eisley,"1,4,5",Verse,Drink The Water,3 chord,Drink the Water,Eisley,10453.0,54098.0,"indie pop, indie rock, female vocalists, Dreamy, dream pop",Drink the Water,Eisley,21.0,2013-05-28
Eisley,"1,4,1",Bridge,Go Away,3 chord,Go Away,Eisley,36921.0,234486.0,"indie, alternative, female vocalists, indie rock, female vocalist",,,,
Eisley,"1,5,6",Chorus,I Wish,3 chord,I Wish,Eisley,14177.0,106050.0,"indie, indie rock, Dreamy, indie pop, female vocalists",,,,
Eisley,"1,4,1",Verse and Pre-Chorus,Just Like We Do,3 chord,Just Like We Do,Eisley,67140.0,351763.0,"indie, female vocalists, indie pop, pretty, Eisley",Just Like We Do,Eisley,25.0,2005-02-08
Eisley,"1,6,4",Chorus,Lost At Sea,3 chord,Lost at Sea,Eisley,67777.0,362084.0,"indie, female vocalists, alternative, indie pop, pretty",,,,
Eisley,"1,2,1",Chorus,Marvelous Things,3 chord,Marvelous Things,Eisley,99333.0,617662.0,"indie, female vocalists, indie pop, indie rock, Eisley",Marvelous Things,Eisley,35.0,2005-02-08
Ela Rose,"6,3,6",Chorus,Lovely Words,3 chord,Lovely words,Ela Rose,1655.0,12464.0,"trance, pop, dance, female vocalist, female vocalists",,,,
Ela Rose ft David Deejay,"6,4,1",Chorus,I Can Feel,3 chord,I Can Feel,ELA ROSE FT DAVID DEEJAY,58.0,341.0,dance pop,,,,
Electric Light Orchestra,"1,6,4",Verse,Can't Get It Out Of My Head,3 chord,Can't Get It Out of My Head,Electric Light Orchestra,123132.0,461793.0,"classic rock, 70s, rock, Progressive rock, pop",,,,
Electric Light Orchestra,"1,5,4",Bridge,Do Ya,3 chord,Do Ya,Electric Light Orchestra,100329.0,394993.0,"classic rock, rock, 70s, Progressive rock, ELO",Do Ya,Electric Light Orchestra,56.0,1976-09-01
Electric Light Orchestra,"4,5,1",Verse,Mr Blue Sky,3 chord,Mr. Blue Sky,Electric Light Orchestra,670333.0,3819396.0,"classic rock, 70s, rock, happy, pop",Mr. Blue Sky,Electric Light Orchestra,82.0,1977
Electric Light Orchestria,"1,5,6",Verse,Rockaria,3 chord,Rockaria,Electric Light Orchestria,1.0,1.0,,,,,
Eli Young Band,"1,5,4",Chorus,Crazy Girl,3 chord,Crazy Girl,Eli Young Band,82575.0,360642.0,"country, great song, Love, texas country, country waltz",Crazy Girl,Eli Young Band,69.0,2011-01-01
Eli Young Band,"1,5,4",Verse,Even If It Breaks Your Heart,3 chord,Even If It Breaks Your Heart,Eli Young Band,83947.0,437063.0,"country, new country, Eli Young Band, great song, modern country",Even If It Breaks Your Heart,Eli Young Band,67.0,2011-01-01
Elizabeth and The Catapult,"4,5,1",Chorus,You And Me,3 chord,You And Me,Elizabeth & The Catapult,5860.0,27213.0,"power pop, Love, Bittersweet, love at first listen, summer sundae",,,,
Ella Eyre,"1,5,4",Chorus,If I Go,3 chord,If I Go,Ella Eyre,77337.0,375182.0,"british, female vocals, 2014 single, pop, party",If I Go,Ella Eyre,49.0,2015-01-12
Ella Fitzgerald,"1,6,5",Verse,Ev'ry Time You Say Goodbye,3 chord,Ev'ry Time You Say Goodbye,Ella Fitzgerald,18.0,54.0,,,,,
Ella Henderson,"1,6,5",Chorus,Ghost,3 chord,Ghost,Ella Henderson,213782.0,1639048.0,"pop, best of 2014, british, 2014, love at first listen",Ghost,Ella Henderson,58.0,2015-01-13
Elle King,"1,5,6",Chorus,Ex's And Oh's,3 chord,Ex's and Oh's,Elle King,6211.0,87707.0,,,,,
Ellie Goulding,"5,6,4",Intro,Burn,3 chord,Burn,Ellie Goulding,520235.0,4870345.0,"pop, electronic, ellie goulding, Burn, 2013",Burn,Ellie Goulding,67.0,2013-01-01
Ellie Goulding,"4,6,5",Chorus,Figure 8,3 chord,Figure 8,Ellie Goulding,208843.0,2071840.0,"pop, epic, electronic, best of 2012, electro",Figure 8,Ellie Goulding,44.0,2012-01-01
Ellie Goulding,"1,4,5",Chorus,Guns And Horses,3 chord,Guns and Horses,Ellie Goulding,317094.0,2423960.0,"pop, female vocalists, british, indie, electronic",,,,
Ellie Goulding,"6,5,4",Chorus,Lights,3 chord,Lights,Ellie Goulding,647789.0,6558278.0,"pop, electronic, female vocalists, british, dance",,,,
Ellie Goulding,"1,4,6",Chorus,Lost And Found,3 chord,losT AND founD,Ellie Goulding,49416.0,328979.0,"love at first listen, lost and found, electropop, female, pop",,,,
Ellie Goulding,"4,5,6",Verse,Love Me Like You Do,3 chord,Love Me Like You Do,Ellie Goulding,107170.0,1349649.0,"love at first listen, pop, 2015, Tove Lo, Soundtrack",Love Me Like You Do,Ellie Goulding,64.0,2018-02-09
Ellie Goulding,"4,5,6",Chorus,On My Mind,3 chord,On My Mind,Ellie Goulding,228372.0,1801304.0,"pop, british, ellie goulding, 2015, on my mind",On My Mind,Ellie Goulding,62.0,2015-11-13
Ellie Goulding,"5,6,5",Solo,Tessellate,3 chord,Tessellate,Ellie Goulding,52668.0,329101.0,"cover, electronic, chillout, indie pop, rnb",,,,
Ellie Goulding,"6,5,4",Intro,This Love Will Be Your Downfall,3 chord,This Love (Will Be Your Downfall),Ellie Goulding,251754.0,1813390.0,"pop, electronic, female vocalists, indie, dance",This Love (Will Be Your Downfall),Ellie Goulding,35.0,2010
Ellie Goulding,"4,6,5",Verse and Pre-Chorus,You My Everything,3 chord,You My Everything,Ellie Goulding,90604.0,827157.0,"Drum and bass, electronic, pop, synthpop, skins",You My Everything,Ellie Goulding,39.0,2013-01-01
Ellie Lawson,"1,4,1",Chorus,Calling You - Vadim Spark Remix,3 chord,Calling You - Vadim Spark Remix,Ellie Lawson,68.0,142.0,,Calling You - Vadim Spark Remix,Ellie Lawson,0.0,2014-09-08
Elliott Smith,"1,4,1",Verse,A Fond Farewell,3 chord,A Fond Farewell,Elliott Smith,160823.0,987198.0,"indie, singer-songwriter, acoustic, Mellow, indie rock",A Fond Farewell,Elliott Smith,43.0,2004-10-18
Elliott Smith,"1,6,4",Chorus,Miss Misery,3 chord,Miss Misery,Elliott Smith,145014.0,957516.0,"singer-songwriter, indie, melancholy, Soundtrack, elliott smith",Miss Misery,Elliott Smith,39.0,1997-01-01
Elliott Smith,"4,5,6",Bridge,Say Yes,3 chord,Say Yes,Elliott Smith,410078.0,2984026.0,"acoustic, indie, singer-songwriter, Mellow, indie rock",Say Yes,Elliott Smith,55.0,1997-02-25
Elliott Smith,"1,6,4",Verse,The Biggest Lie,3 chord,The Biggest Lie,Elliott Smith,161522.0,1050907.0,"indie, folk, singer-songwriter, acoustic, indie rock",The Biggest Lie,Elliott Smith,36.0,1995
Elmer Bernstein,"1,5,4",Verse,Ghostbusters,3 chord,Ghostbusters,Elmer Bernstein,369.0,1094.0,American film score composers,,,,
Elmer Bernstein,"1,4,1",Verse,The Magnificent Seven Theme,3 chord,The Magnificent Seven Theme,Elmer Bernstein,199.0,1182.0,,,,,
Elmer Bernstein,"1,4,6",Intro,The Sons of Katie Elder Theme,3 chord,The Sons of Katie Elder Theme,Elmer Bernstein,1.0,5.0,,,,,
Elton John,"4,1,4",Chorus,Can You Feel the Love Tonight,3 chord,Can You Feel the Love Tonight,Elton John,360226.0,1573313.0,"Soundtrack, Disney, pop, 90s, piano",,,,
Elton John,"1,6,4",Bridge,Crocodile Rock,3 chord,Crocodile Rock,Elton John,367461.0,1415509.0,"classic rock, 70s, pop, rock, elton john",Crocodile Rock,Elton John,73.0,1973-01-22
Elton John,"1,5,1",Verse,Daniel,3 chord,Daniel,Elton John,301945.0,1166701.0,"pop, 70s, elton john, classic rock, singer-songwriter",Daniel,Elton John,68.0,1973-01-22
Elton John,"1,4,5",Chorus,Don't Let The Sun Go Down On Me,3 chord,Don't Let the Sun Go Down on Me,Elton John,207857.0,754243.0,"pop, classic rock, elton john, rock, british",,,,
Elton John,"1,4,1",Intro,Levon,3 chord,Levon,Elton John,128570.0,486707.0,"classic rock, elton john, 70s, pop, piano",Levon,Elton John,58.0,1971-11-05
Elton John,"1,5,1",Verse,Nikita,3 chord,Nikita,Elton John,157127.0,591883.0,"pop, 80s, elton john, rock, male vocalists",Nikita,Elton John,69.0,1985-11-07
Elton John,"1,5,1",Chorus,The Oven Instructions Song,3 chord,,,,,,,,,
